dataset,instance,seed,checkpoint_s,score_at_checkpoint,progress_to_final_improvement
seed_based,input/seed_based/ce_060x_012t.txt,78,600,13014359.0,1.0
seed_based,input/seed_based/ce_060x_012t.txt,89,0,12973556.0,0.0
seed_based,input/seed_based/ce_060x_012t.txt,89,30,13011549.0,0.9289696317668346
seed_based,input/seed_based/ce_060x_012t.txt,89,60,13012874.0,0.9613673040246467
seed_based,input/seed_based/ce_060x_012t.txt,89,120,13013580.0,0.978629761846545
seed_based,input/seed_based/ce_060x_012t.txt,89,300,13013898.0,0.98640520318842
seed_based,input/seed_based/ce_060x_012t.txt,89,600,13014454.0,1.0
seed_based,input/seed_based/ce_060x_012t.txt,100,0,12973556.0,0.0
seed_based,input/seed_based/ce_060x_012t.txt,100,30,13009614.0,0.916433690845321
seed_based,input/seed_based/ce_060x_012t.txt,100,60,13010602.0,0.9415442484623596
seed_based,input/seed_based/ce_060x_012t.txt,100,120,13011549.0,0.9656127687693794
seed_based,input/seed_based/ce_060x_012t.txt,100,300,13012902.0,1.0
seed_based,input/seed_based/ce_060x_012t.txt,100,600,13012902.0,1.0
seed_based,input/seed_based/ce_090x_008t.txt,1,0,20368337.0,0.0
seed_based,input/seed_based/ce_090x_008t.txt,1,30,20479489.0,0.3659626306691909
seed_based,input/seed_based/ce_090x_008t.txt,1,60,20535621.0,0.5507745493456252
seed_based,input/seed_based/ce_090x_008t.txt,1,120,20579414.0,0.6949609021318627
seed_based,input/seed_based/ce_090x_008t.txt,1,300,20643469.0,0.9058589184295004
seed_based,input/seed_based/ce_090x_008t.txt,1,600,20672062.0,1.0
seed_based,input/seed_based/ce_090x_008t.txt,12,0,20368337.0,0.0
seed_based,input/seed_based/ce_090x_008t.txt,12,30,20502624.0,0.43738559451765674
seed_based,input/seed_based/ce_090x_008t.txt,12,60,20569808.0,0.6562103041475855
seed_based,input/seed_based/ce_090x_008t.txt,12,120,20608740.0,0.783015549374312
seed_based,input/seed_based/ce_090x_008t.txt,12,300,20656841.0,0.9396851039990619
seed_based,input/seed_based/ce_090x_008t.txt,12,600,20675359.0,1.0
seed_based,input/seed_based/ce_090x_008t.txt,23,0,20368337.0,0.0
seed_based,input/seed_based/ce_090x_008t.txt,23,30,20511341.0,0.4792214712022761
seed_based,input/seed_based/ce_090x_008t.txt,23,60,20555563.0,0.6274140525252254
seed_based,input/seed_based/ce_090x_008t.txt,23,120,20600827.0,0.7790984856354869
seed_based,input/seed_based/ce_090x_008t.txt,23,300,20638038.0,0.9037964672647273
seed_based,input/seed_based/ce_090x_008t.txt,23,600,20666746.0,1.0
seed_based,input/seed_based/ce_090x_008t.txt,34,0,20368337.0,0.0
seed_based,input/seed_based/ce_090x_008t.txt,34,30,20510334.0,0.44806868848786247
seed_based,input/seed_based/ce_090x_008t.txt,34,60,20573015.0,0.6458573281288951
seed_based,input/seed_based/ce_090x_008t.txt,34,120,20627820.0,0.8187934075712586
seed_based,input/seed_based/ce_090x_008t.txt,34,300,20664300.0,0.9339053166681918
seed_based,input/seed_based/ce_090x_008t.txt,34,600,20685246.0,1.0
seed_based,input/seed_based/ce_090x_008t.txt,45,0,20368337.0,0.0
seed_based,input/seed_based/ce_090x_008t.txt,45,30,20496301.0,0.3898726463957102
seed_based,input/seed_based/ce_090x_008t.txt,45,60,20556077.0,0.5719943940040217
seed_based,input/seed_based/ce_090x_008t.txt,45,120,20583209.0,0.6546584607884955
seed_based,input/seed_based/ce_090x_008t.txt,45,300,20662441.0,0.8960575223935165
seed_based,input/seed_based/ce_090x_008t.txt,45,600,20696528.0,0.9999116446286027
seed_based,input/seed_based/ce_090x_008t.txt,56,0,20368337.0,0.0
seed_based,input/seed_based/ce_090x_008t.txt,56,30,20507639.0,0.4457920776236711
seed_based,input/seed_based/ce_090x_008t.txt,56,60,20562448.0,0.6211909806004826
seed_based,input/seed_based/ce_090x_008t.txt,56,120,20599749.0,0.7405610563168439
seed_based,input/seed_based/ce_090x_008t.txt,56,300,20660098.0,0.9336889804852759
seed_based,input/seed_based/ce_090x_008t.txt,56,600,20680819.0,1.0
seed_based,input/seed_based/ce_090x_008t.txt,67,0,20368337.0,0.0
seed_based,input/seed_based/ce_090x_008t.txt,67,30,20506783.0,0.4282991900905193
seed_based,input/seed_based/ce_090x_008t.txt,67,60,20574610.0,0.6381300928704454
seed_based,input/seed_based/ce_090x_008t.txt,67,120,20617225.0,0.7699646708698639
seed_based,input/seed_based/ce_090x_008t.txt,67,300,20668317.0,0.9280238579905088
seed_based,input/seed_based/ce_090x_008t.txt,67,600,20691583.0,1.0
seed_based,input/seed_based/ce_090x_008t.txt,78,0,20368337.0,0.0
